TotalPopulation	LifeExpectancyM	LifeExpectancyF	LifeExpectancyB	HealthyLifeExpectancy	CHEperCapita	CHEpercGDP	MaternalMortality	BirthsSkilledPersonnel	ChildMortality	NeonatalMortality	Tuberculosis	HepatitisB	NTDinterventions	CVDcancerDiabetesCRD	Suicide	Alcohol	TrafficMortality	AdolescentBirth	UHCcoverageIndex	AirPollutionMortality	WASHmortality	PoisoningMortality	DTP3coverage	MCV2coverage	PhysicianDensity	NurseDensity	DentistDensity	PharmacistDensity	IHRCCS13	GGHEDGGE	CleanFuel	UrbanParticulate	NaturalDisaster	Homicide	MajorConflict
Madagascar	24895	64.6	67.6	66.1	58.3	21	5.2	353	44	46.4	18.6	237	4.36	18863123	22.9	3.9	1.9	28.4	152	30	159.6	30.2	3.3	77	89	0.1	0.2	0	0	43	15.6	5	22.5	0.2	6.9	0.1
Malawi	18092	61.4	66.8	64.2	56.2	34	9.3	634	90	55.1	23.1	159	3.03	11435030	16.4	3.7	3.7	35	136	44	115	28.3	2	84	61	0	0.3	0	0	56	10.8	5	21.9	0.2	1.5	0
Malaysia	31187	73.2	77.6	75.3	66.6	386	4	40	99	8.3	4.4	92	0.17	120318	17.2	5.5	0.9	24	11.5	70	47.4	0.4	0.5	98	99	1.5	4.1	0.5	0.5	100	8.3	95	17.3	0.1	4.1	0.1
Maldives	428	77.2	79.9	78.4	69.8	944	11.5	68	96	8.5	4.8	49	0.19	1937	13.4	2.3	2.7	3.5	12.9	55	25.6	0.3	0	99	99	3.6	8.2	0.2	1.1	63	22.8	94	7.7	0	3.4	0.9
Mali	17995	57.5	58.4	58	50.7	42	5.8	587	44	110.6	35.7	56	4.88	18605778	24.6	4.8	1.3	25.6	174	32	209.1	70.7	3.3	68	89	0.1	0.4	0	0	40	4.5	5	29	0.1	11.3	3.9
Malta	429	79.6	83.3	81.5	72.2	2304	9.6	9	100	6.8	4.6	13	0.39	1	10.8	7.5	8.1	5.1	11.4	79	20.2	0.1	0.1	97	86	3.9	9.1	0.5	1.3	79	14.2	95	14	0.1	0.9	0
Marshall Islands	53	70.3	76.4	73.4	64.9	747	22.1	54	90	35.4	16.4	422	1.56	19594	18.8	7.9	6.3	5.7	44.35	65	68.6	1.3	0.6	71	49	0.5	3.6	0.5	0.1	57	21.2	65	21.1	0.1	5.2	0.1
Mauritania	4301	62.6	65.2	63.9	56.4	54	4.6	602	69	81.4	33.7	102	4.29	589697	18.1	4.4	0	24.5	77	33	169.5	38.6	1.9	73	89	0.1	0.7	0	0	32	5.5	47	41.7	0.1	11	0
Mauritius	1262	71.6	78.1	74.8	65.8	506	5.5	53	100	13.7	8.4	22	0.61	0	22.6	7.8	3.6	12.2	24.1	64	38.3	0.6	0.1	96	92	2	3.3	0.3	0.4	71	9.9	93	13.5	0.2	1.6	0
Mexico	127540	74	79.2	76.6	67.7	535	5.9	38	98	14.6	7.8	22	0.04	9532039	15.7	5.1	6.5	12.3	66.2	76	36.7	1.1	0.4	97	98	2.2	2.6	0.1	0.25	94	11.3	85	20.9	0.1	16.9	2.1
Micronesia (Federated States of)	105	68.4	70.8	69.6	61.1	395	13.1	100	100	33.3	17.2	177	0.89	70736	26.1	11.1	2.5	1.9	44.35	60	151.8	3.6	1	69	74	0.2	3.6	0.4	0.2	86	6.1	12	10.5	1.3	4.8	0
Monaco	38	70.3	76.4	73.4	64.9	3316	2	54	97	3.4	1.8	0	0.2	0	18.8	7.9	6.3	0	44.35	65	68.6	1.3	0.6	99	89	6.6	20.5	1	2.6	81	8.1	95	12.2	0.1	5.2	0.1
Mongolia	3027	65.7	74.2	69.8	61.9	152	3.9	44	99	17.9	9.7	183	1.72	0	30.2	13	7.4	21	26.7	63	155.9	1.3	1.6	99	90	3.3	4.1	0.2	0.5	87	6	43	49.5	0	8.9	0
Montenegro	629	74.4	79.2	76.8	68.1	382	6	7	99	3.8	2.4	16	0.65	6	20.6	10.3	8	11.9	11.1	54	78.6	0.1	0.5	89	86	2.3	5.7	0	0.2	56	8.8	69	19.3	0	2.6	0
Morocco	35277	74.8	77	76	65.3	160	5.5	121	74	27.1	17.8	103	0.45	25	12.4	2.9	0.6	20.8	32	65	49.1	1.9	0.6	99	99	0.6	0.9	0.1	0.3	95	7.7	95	31.1	0.1	1.4	0
Mozambique	28829	57.7	62.3	60.1	52.2	28	5.4	489	54	71.3	27.1	551	3.67	23920538	18.4	4.9	2.4	31.6	167	42	110	27.6	2.9	80	51	0.1	0.4	0	0.1	69	1.2	5	18.4	0.2	2.5	0.1
Myanmar	52885	64.6	68.9	66.8	58.4	59	4.9	178	60	50.8	24.5	361	2.03	39343021	24.2	7.8	4.8	20.3	36	60	156.4	12.6	1.4	90	86	0.6	0.9	0.1	0.25	62	4.9	18	34.6	0.1	4.1	1.9
Namibia	2480	61.1	66.1	63.7	55.9	423	8.9	265	88	45.2	17.8	446	0.66	1097233	21.3	8.7	9.8	23.9	82	59	145	18.3	1.5	92	89	0.4	2.8	0	0.2	79	12.9	42	21	0	18.3	0
Nauru	11	70.3	76.4	73.4	64.9	812	4.8	54	97	34.6	22.2	112	2.11	2844	18.8	7.9	6	16.6	44.35	65	68.6	1.3	0.6	91	96	1.4	7	0.6	1	42	5.2	91	12.5	0.1	5.2	0.1
Nepal	28983	68.8	71.6	70.2	61.3	44	6.1	258	58	34.5	21.1	154	0.31	17552881	21.8	8.8	2	17	88	46	193.8	19.8	0.4	87	25	0.6	2	0.3	0.2	22	5.5	28	99.5	7	3.3	0.1
Netherlands	16987	80	83.2	81.6	72.1	4746	10.7	7	97	3.8	2.5	5.9	0.04	38	11.2	12.6	8.7	3.4	3.2	80	13.7	0.2	0.1	95	91	3.5	10.5	0.5	0.2	95	19	95	12.1	0.1	0.7	0.2
New Zealand	4661	80.5	84	82.2	72.8	3554	9.3	11	96	5.4	3	7.3	1.2	0	10.1	12.1	10.7	6	16	80	7.2	0.1	0.2	92	89	3.1	11.1	0.4	0.7	98	9.5	95	5.8	0.1	1.1	0.1
Nicaragua	6150	72.5	78.4	75.5	66.9	163	7.8	150	88	19.7	8.8	48	0.14	926646	14.2	12.2	5.2	15.3	92	70	55.7	2.2	0.6	98	89	0.9	1.4	0	0.25	91	17.4	52	19	0.1	13.9	0.1
Niger	20673	59	60.8	59.8	52.5	26	7.2	553	40	91.3	25.7	93	6.01	15233885	20	4.6	0.5	26.4	146	33	251.8	70.8	4.2	67	37	0	0.1	0	0	74	4.6	5	73	0.2	10.4	1.2
Nigeria	185990	54.7	55.7	55.2	48.9	97	3.6	814	43	104.3	34.1	219	2.61	128936746	22.5	9.5	13.4	20.5	145	39	307.4	68.6	3	49	89	0.4	1.5	0	0.1	51	5.3	5	46.3	0.1	9.8	4.1
Niue	2	70.3	76.4	73.4	64.9	867	6.3	54	100	22.2	11.6	20	0.24	1	18.8	7.9	7	16.6	44.35	65	68.6	1.3	0.6	99	99	1.8	9.8	2.5	0.6	61	2.2	93	21.1	0.1	5.2	0.1
Norway	5255	80.6	84.3	82.5	73	7464	10	5	99	2.6	1.5	6.1	0.01	3	9.2	12.2	7.5	3.8	4.6	80	8.6	0.2	0.2	96	91	4.4	17.8	0.9	0.7	99	17.5	95	7.8	0.1	0.6	0.1
Oman	4425	75.3	79.5	77	65.6	636	3.8	17	100	10.7	5.2	9	0.44	0	17.8	3.9	0.8	25.4	13.5	72	53.9	0.1	0.4	99	99	1.9	4.2	0.2	0.9	90	6.7	95	36.2	0	5.2	0
Pakistan	193203	65.7	67.4	66.5	57.7	38	2.7	178	55	78.8	45.6	268	2.75	31683212	24.7	2.9	0.3	14.2	44	40	173.6	19.6	2.3	72	53	1	0.5	0.1	0.25	51	3.7	43	56.2	0.3	9.6	6.9
Palau	22	70.3	76.4	73.4	64.9	1420	10.6	54	100	15.9	8.4	123	0.21	41	18.8	7.9	6.3	4.8	44.35	65	68.6	1.3	0.6	98	95	1.2	5.3	0.2	0	91	13.1	87	12.4	0.1	5.2	0.1
Panama	4034	75	81.2	78	69.4	921	7	94	95	16.4	9.6	55	0.22	453129	13	4.3	7.9	10	84.3	75	25.8	1.9	0.4	73	92	1.6	2.3	0.3	0.25	76	11.3	89	12	0.3	20.5	0
Papua New Guinea	8085	63.6	68.3	65.9	58	77	3.8	215	40	54.3	23.5	432	2.24	6528722	30	6	1.2	16.8	44.35	41	152	16.3	1.7	72	89	0.1	0.5	0	0	64	8.7	13	11.5	0.2	10.2	0.1
Paraguay	6725	72.4	76.1	74.2	65.3	321	7.8	132	96	19.9	11.1	42	0.65	790833	17.5	9.5	7.2	20.7	62.8	69	57.5	1.5	0.3	93	92	1.3	1	0.2	0.25	77	10.8	66	11.7	0.1	8.6	0.1
Peru	31774	73.4	78.3	75.9	67.5	323	5.3	68	92	15.3	7.5	117	0.24	2814779	12.6	4.9	6.3	13.9	49.4	78	63.9	1.3	0.9	89	66	1.1	1.5	0.1	0.1	66	14.4	75	29	0.1	11.6	0.1
Philippines	103320	66.2	72.6	69.3	61.7	127	4.4	114	73	27.1	12.6	554	1.07	49110117	26.8	3.2	6.6	10.5	57	58	185.2	4.2	0.2	86	66	1.5	0.2	0	0.9	81	7.4	43	18.7	2.1	14.8	1.6
Poland	38224	73.8	81.6	77.8	68.5	797	6.3	3	100	4.7	2.8	18	0.04	64	18.7	16.2	11.6	10.3	12.3	75	37.9	0.1	0.2	98	94	2.3	5.7	0.3	0.7	74	10.7	95	21.5	0.1	0.9	0.1
Portugal	10372	78.3	84.5	81.5	72	1722	9	10	99	3.5	2.1	20	0.1	6	11.1	14	12.3	7.8	8.2	80	9.8	0.2	0.3	98	95	4.4	6.4	0.9	0.9	91	12.3	95	8.1	0.1	1.2	0
Qatar	2570	77.3	79.9	78.1	68.6	2030	3.1	13	100	8.5	4.1	23	0.2	36	15.3	6.6	2	15.2	10.5	77	47.4	0.1	0.4	98	92	2	5.7	0.6	0.9	76	6.3	95	91.7	0	7.4	0
Republic of Korea	50792	79.5	85.6	82.7	73	2013	7.4	11	100	3.4	1.5	77	0.69	323	7.8	26.9	10.2	12	1.3	80	20.5	1.8	0.5	98	97	2.3	6.9	0.5	0.7	98	12.9	95	24.7	0.1	1.3	0.5
Republic of Moldova	4060	67.6	75.3	71.5	63.6	186	10.2	23	100	15.9	11.9	101	0.65	0	24.9	15.9	15.2	12.5	26.7	65	78.3	0.1	1.2	89	95	3.2	4.5	0.4	0.5	81	12.2	92	16.5	0.1	5.3	0
Romania	19778	71.6	79	75.2	66.6	442	5	31	95	9	4.3	74	0.65	13	21.4	10.4	12.6	8.7	35.3	72	59.3	0.4	0.4	89	76	2.7	6.4	0.7	0.8	76	10.8	86	15.4	0.1	1.6	0.1
Russian Federation	143965	66.4	77.2	71.9	63.5	524	5.6	25	100	7.7	3.4	66	0.88	0	25.4	31	11.7	18.9	24	63	49.4	0.1	1.7	97	97	4	8.7	0.3	0.25	99	9.6	95	14.7	0.1	11.3	0.3
Rwanda	11918	66.1	69.9	68	59.9	57	7.9	290	91	38.5	16.5	50	1.74	5190529	18.2	6.7	9	32.1	45	53	121.4	19.3	2.4	98	90	0.1	0.8	0	0	66	6.2	5	40.7	0.1	5.5	0.3
Saint Kitts and Nevis	55	70.3	76.4	73.4	64.9	907	5.6	54	100	9.3	5.9	0	0.38	136	18.8	7.9	9.4	16.6	44.35	65	68.6	1.3	0.6	97	97	1.5	3	0.3	0.25	52	6.5	95	12.3	0.1	5.2	0.1
Saint Lucia	178	73	78.3	75.6	66.4	482	6	48	99	13.3	9.2	1.9	0.39	26921	18.8	7.8	9.9	18.1	44.35	69	30	0.6	0.2	95	88	0.1	3	0.2	0.25	77	8.5	95	21.2	0.7	15.6	0
Saint Vincent and the Grenadines	110	69.4	74.9	72	63.4	284	4.2	45	99	16.6	10.3	6.3	0.42	89	23.2	2.4	8.2	8.2	63.7	65	47.6	1.3	0.2	98	99	1.5	3	0.3	0.25	65	10	95	21.4	2.2	13.8	0.1
Samoa	195	72	78.4	75.1	66	223	5.6	51	82	17.3	9.2	7.7	1.05	61325	20.6	4.4	2.5	15.8	39.2	56	85	1.5	0.5	62	44	0.3	1.5	0.2	0.3	75	11.5	32	10.9	1.2	3.2	0
San Marino	33	70.3	76.4	73.4	64.9	3243	6.8	54	97	2.8	0.6	0	0.32	0	18.8	7.9	6.3	3.2	44.35	65	68.6	1.3	0.6	66	36	6.4	9.1	0.7	0.7	61	14.3	95	13.4	0.1	5.2	0.1
Sao Tome and Principe	200	66.7	70.7	68.7	60.7	160	9.8	156	92	33.8	15	99	1.36	200169	18.5	2.3	6.8	31.1	92	54	162.4	11.4	0.9	96	76	1.5	3	0.3	0.25	16	10.7	17	25.2	0	7	0
Saudi Arabia	32276	73.5	76.5	74.8	65.7	1194	5.8	12	98	12.9	6.9	10	0.3	0	16.4	3.2	0.2	27.4	44.35	68	83.7	0.1	0.7	98	96	2.6	5.2	0.4	0.7	99	10.1	95	86.7	0.1	6.2	0.2
Senegal	15412	64.7	68.7	66.8	58.8	36	4	315	59	47.1	20.6	140	3.48	11635621	18.1	6	0.7	27.2	80	41	160.7	23.9	2.3	93	75	0.1	0.3	0	0	44	4.2	32	39.7	0.1	7.8	0.1
Serbia	8820	73.8	78.9	76.3	67.4	491	9.4	17	100	5.8	3.7	19	0.11	0	19.1	15.6	11.1	7.7	16.4	65	62.5	0.7	0.3	92	90	2.5	4.7	0.3	0.5	44	12.3	76	24.7	0.1	1.6	0.1
Seychelles	94	69	78	73.3	65.7	492	3.4	54	99	14.3	9	15	0.15	0	21.2	9.3	12	8.6	65.8	68	49.3	0.2	0.6	96	99	1	4.4	0.1	0	87	10	90	18.6	0	9.9	0
Sierra Leone	7396	52.5	53.8	53.1	47.6	107	18.3	1360	60	113.5	33.2	304	8.18	7651657	30.5	9.7	5.7	27.3	125	36	324.1	81.3	4.1	84	50	0	0.3	0	0	70	7.9	5	20.6	0	13.1	0
Singapore	5622	80.8	85	82.9	76.2	2280	4.3	10	100	2.8	1.1	51	0.47	13098	9.3	9.9	2	3.6	2.7	80	25.9	0.1	0.1	97	88	2.3	7.1	0.4	0.5	99	12	95	18.3	0	0.2	0.1
Slovakia	5444	73.8	80.9	77.4	68.3	1108	6.9	6	98	5.9	3	5.9	0.56	4	17.2	12.8	11.5	6.6	24.3	76	33.5	0.1	0.4	96	97	3.4	6	0.5	1.1	95	12	95	18	0.1	1.3	0
Slovenia	2078	78	83.7	80.9	70.5	1772	8.5	9	100	2.3	1.3	6.5	1.04	3	12.7	18.6	12.6	6.4	4.5	78	22.6	0.1	0.3	94	93	2.8	8.8	0.7	0.6	77	12.7	95	16.4	0.1	0.7	0.1
Solomon Islands	599	69.7	72.7	71.1	61.9	152	8	114	86	25.8	10.4	84	2.93	518106	23.8	4.7	1.4	19.2	42	50	137	6.2	0.9	99	89	0.2	1.8	0.1	0.1	57	10.6	8	11.5	2	4.3	0
Somalia	14318	53.7	57.3	55.4	50	366	6.3	732	97	132.5	38.8	270	10.54	5163752	21.8	4.7	0	25.4	44.35	22	212.8	86.6	4.6	42	89	0	0.1	0.3	0.25	29	9.5	5	28	0.3	5.6	28.2
South Africa	56015	60.2	67	63.6	55.7	471	8.2	138	97	43.3	12.4	781	1.74	6784419	26.2	11.6	9.3	25.1	71	67	86.7	13.7	1.2	66	70	0.8	5.2	0.2	0.7	91	14.1	85	24.3	0.1	33.1	0.1
South Sudan	12231	57.7	59.6	58.6	50.6	28	2.5	789	19	90.7	37.9	146	21.13	9991337	19.8	3.7	6.3	27.9	158.1	30	165.1	63.3	4	26	89	1.5	3	0.3	0.25	34	1.6	5	40.9	0.3	5.1	19.4
Spain	46348	80.3	85.7	83.1	73.8	2354	9.2	5	97	3.3	2	10	0.19	87	9.9	8.7	10	3.7	7.7	77	9.9	0.2	0.2	97	95	3.9	5.3	0.7	1.2	95	14.9	95	9.8	0.1	0.7	0.1
Sri Lanka	20798	72.1	78.5	75.3	66.8	118	3	30	99	9.4	5.3	65	0.64	55720	17.4	14.6	4.3	17.4	20.3	62	79.8	1.2	0.4	99	99	0.9	2.8	0.1	0.1	76	7.9	26	15.1	0.3	3	0.1
Sudan	39579	63.4	66.9	65.1	55.7	152	6.3	311	78	65.1	29.4	82	2.86	25572281	26	8.1	0.5	24.3	87	43	184.9	17.3	3.9	93	69	0.3	1.2	0	0	67	18.1	41	46.8	0.1	6.2	8.3
Suriname	558	68.7	75.1	71.8	63.2	577	6.5	155	80	20	10.6	26	0.36	58237	21.7	22.8	5.1	19.1	57.7	68	56.7	2	0.4	91	44	1.5	3	0.3	0.25	72	10.5	90	25.8	0	10	0
Swaziland	1343	55.1	59.9	57.7	50.2	233	7	389	88	70.4	21.4	398	0.85	198319	26.7	13.3	9.9	24.2	87	58	137	27.9	3.3	90	89	0.1	1.4	0	0	75	14.9	50	16.2	0.2	20	0
Sweden	9838	80.6	84.1	82.4	72.4	5600	11	4	97	2.9	1.6	8.2	0.32	27	9.1	14.8	9.2	2.8	4.4	80	7.2	0.2	0.4	98	95	4.2	11.9	0.8	0.8	93	18.4	95	6.1	0.1	1	0.1
Switzerland	8402	81.2	85.2	83.3	73.5	9818	12.1	5	97	4.1	2.9	7.8	0.17	0	8.6	17.2	11.5	3.3	2.6	80	10.1	0.1	0.1	97	89	4.2	18.2	0.5	0.5	91	25.2	95	10.4	0.2	0.5	0.1
Syrian Arab Republic	18430	59.4	68.9	63.8	55.8	366	6.3	68	96	17.5	8.9	21	0.37	47402	21.8	1.9	0.3	20	54	60	75.2	3.7	0.4	42	52	1.5	2.3	0.9	1.5	64	9.5	95	37.4	0	2.5	430.8
Tajikistan	8735	68.7	73	70.8	63.5	63	6.9	32	90	43.1	19.9	85	0.71	125863	25.3	2.5	3.3	18.8	54	65	129.3	2.7	1.2	96	97	1.7	5.3	0.2	0.25	89	6.1	80	42.8	0.1	1.3	0.1
Thailand	68864	71.8	79.3	75.5	66.8	217	3.8	20	99	12.2	7.3	172	0.17	64094	14.5	14.4	8.3	36.2	51	75	61.5	3.5	0.4	99	95	0.5	2.3	0.3	0.2	97	16.6	74	26.6	0.1	5	0.4
The former Yugoslav Republic of Macedonia	2081	73.8	78	75.9	67.1	295	6.1	8	100	12.2	8.3	16	0.2	5	20.3	7.9	8.1	9.4	20.1	70	82.2	0.1	0.4	95	93	2.9	3.8	0.9	0.5	90	12.1	66	33	0.1	1.5	0.1
Timor-Leste	1269	66.8	70.4	68.6	59.2	72	3.1	215	57	49.7	21.6	498	0.87	1167125	19.9	4.6	2.1	16.6	44.35	47	139.8	9.9	0.4	85	22	0.1	1.3	0	0.1	72	4.2	7	18.2	0	5.1	0
Togo	7606	59.7	61.5	60.6	53.9	37	6.6	368	45	75.7	26	46	3.36	6328077	23.6	9.6	3.1	31.1	85	42	249.6	41.6	2.4	89	89	0.1	0.3	0	0	64	5.7	7	31.2	0	9.3	0
Tonga	107	70.5	76.4	73.4	64.3	221	5.9	124	96	16.4	6.8	8.6	2.35	37131	23.3	3.5	1.5	7.6	30	62	73.3	1.4	1.3	78	85	0.6	3.9	0.4	0.3	74	8.4	59	10.2	0	4.6	0
Trinidad and Tobago	1365	68.2	75.6	71.8	63.3	1146	6	63	100	18.5	12.6	18	0.43	19498	21.3	13.6	8.4	14.1	38	75	38.6	0.1	0.2	97	65	1.8	3.3	0.3	0.5	72	8.5	95	22.4	0	42.2	0
Tunisia	11403	74.1	78.1	76	66.3	258	6.7	62	74	13.6	8.1	38	0.76	6082	16.1	3.4	1.9	24.4	3	65	56.1	1	0.5	98	97	1.3	2.6	0.3	0.3	57	13.6	95	35.7	0	1.7	0.4
Turkey	79512	73.3	79.4	76.4	66	455	4.1	16	97	12.7	6.5	18	0.32	1497	16.1	7.3	2	8.9	26.9	71	46.6	0.3	0.3	98	85	1.7	2.6	0.3	0.3	88	10.1	85	41.2	0.1	2.7	1.1
Turkmenistan	5663	64.7	71.7	68.2	61.4	405	6.3	42	100	51	22.3	60	0.23	52	29.5	6.7	5.4	17.4	28	67	79.3	4	0.7	98	99	2.3	4.8	0.1	0.2	84	8.7	95	24.2	0	4.2	0.1
Tuvalu	11	70.3	76.4	73.4	64.9	439	15	54	93	25.3	17.2	207	0.7	10782	18.8	7.9	1.7	16.6	44.35	65	68.6	1.3	0.6	94	92	1.2	6.5	0.4	0.2	54	12.1	50	21.1	0.1	5.2	0.1
Uganda	41488	60.2	64.8	62.5	54.9	46	7.3	343	74	53	21.4	201	3.16	23486474	21.9	9.9	9.5	27.4	141	44	155.7	31.6	3.2	78	89	0.1	0.6	0	0	58	5.6	5	48.7	0.1	12.6	1.4
Ukraine	44439	67.6	77.1	72.5	64	125	6.1	24	100	9.1	5.4	87	0.46	0	24.7	22.4	8.6	10.6	26.1	63	70.7	0.3	2.5	19	31	3	7	0.6	0	49	8.3	95	19.4	0.1	4.6	5
United Arab Emirates	9270	76.5	78.7	77.2	66.7	1402	3.5	6	100	7.7	4	0.79	0.08	40	16.8	2.8	3.8	10.9	34.2	63	54.7	0.1	0.3	99	99	1.6	3.1	0.3	0.4	97	8	95	37.2	0	3.8	0
United Kingdom	65789	79.7	83.2	81.4	71.9	4356	9.9	9	97	4.3	2.6	9.9	0.22	5	10.9	8.9	11.4	2.9	14.4	80	13.8	0.2	0.2	94	89	2.8	8.4	0.5	0.9	89	18.5	95	10.6	0.1	1.3	0.1
United Republic of Tanzania	55572	62	65.8	63.9	56.5	32	6.1	398	64	56.7	21.7	287	1.69	25008679	17.9	5.4	9.4	32.9	132	39	139	38.4	2.7	97	71	0	0.4	0	0	69	7.4	5	25.1	0.1	7.7	0.1
United States of America	322180	76	81	78.5	68.5	9536	16.8	14	99	6.5	3.7	3.1	0.04	932	14.6	15.3	9.8	10.6	22.3	80	13.3	0.2	0.9	95	89	2.6	3	0.3	0.9	100	22.6	95	7.6	0.1	6.5	0.2
Uruguay	3444	73.2	80.8	77.1	68.8	1281	9.2	15	100	9.2	5	29	0.35	1340	16.7	18.4	10.8	16.6	55.6	79	17.5	0.4	0.4	95	92	3.9	5.8	0.7	0.3	87	20	95	8.7	0.1	7.4	0.1
Uzbekistan	31447	69.7	75	72.3	64.5	134	6.2	36	100	24.1	13.8	76	0.6	405951	24.5	7.4	2.7	11.2	29.5	72	81.1	0.4	1	99	99	2.5	12.5	0.2	0	83	9.3	92	28.9	0.1	1.9	0.1
Vanuatu	270	70.1	74.1	72	62.7	99	3.5	78	89	27.6	11.8	56	8.48	271465	23.3	4.5	1	16.6	78	56	135.6	10.4	0.9	64	89	0.2	2.2	0.1	0.1	35	11.8	13	11	0.9	2.5	0
Venezuela (Bolivarian Republic of)	31568	69.5	79	74.1	66.1	973	3.2	95	96	16.3	10.3	32	0.62	282294	18.1	3.7	5.6	45.1	44.35	73	34.6	1.4	0.3	84	53	1.5	3	0.3	0.25	94	3.1	95	16.8	0.1	49.2	0.3
Viet Nam	94569	71.7	80.9	76.3	67.5	117	5.7	54	94	21.6	11.5	133	1.2	6953978	17.1	7.3	8.3	24.5	30.1	73	64.5	1.6	0.9	96	95	0.8	1.4	0.3	0.3	95	7.9	67	30.1	0.1	3.8	0
Yemen	27584	63.9	66.8	65.3	55.1	72	6	385	45	55.3	26.8	48	2.54	5985649	30.6	8.5	0.1	21.5	67	39	194.2	10.2	3.8	71	49	0.3	0.8	0	0.1	48	2.2	65	44.3	0.1	6.1	21.6
Zambia	16591	60.2	64.4	62.3	54.3	69	5.4	224	63	63.4	22.9	376	1.84	11573334	17.9	6.1	4.8	24.7	141	56	127.2	34.9	2.9	91	58	0.1	0.9	0	0.1	64	6.8	16	23.8	0	10.1	0
Zimbabwe	16150	59.6	63.1	61.4	54.4	94	10.3	443	78	56.4	22.9	208	4.38	9958235	19.3	10.7	4.8	28.2	110	55	133	24.6	2.2	90	63	0.1	1.2	0	0	72	8.1	29	19.1	0.2	15.1	0.1
