TotalPopulation	LifeExpectancyM	LifeExpectancyF	LifeExpectancyB	HealthyLifeExpectancy	CHEperCapita	CHEpercGDP	MaternalMortality	BirthsSkilledPersonnel	ChildMortality	NeonatalMortality	Tuberculosis	HepatitisB	NTDinterventions	CVDcancerDiabetesCRD	Suicide	Alcohol	TrafficMortality	AdolescentBirth	UHCcoverageIndex	AirPollutionMortality	WASHmortality	PoisoningMortality	DTP3coverage	MCV2coverage	PhysicianDensity	NurseDensity	DentistDensity	PharmacistDensity	IHRCCS13	GGHEDGGE	CleanFuel	UrbanParticulate	NaturalDisaster	Homicide	MajorConflict
Brazil	207653	71.4	78.9	75.1	66	780	8.9	44	99	15.1	7.8	42	0.07	10461013	16.6	6.5	7.8	23.4	60.8	77	29.9	1	0.2	86	72	1.9	7.4	1.2	0.7	96	7.7	95	11.8	0.1	31.3	0.3
Brunei Darussalam	423	75.3	77.6	76.4	67.9	812	2.6	23	100	9.9	4.4	66	0.34	9240	16.6	4.6	0.4	8	11.4	80	13.3	0.1	0.3	99	97	1.7	6.5	0.4	0.2	67	6.4	95	5.8	0	2	0
Bulgaria	7131	71.4	78.4	74.8	66.4	572	8.2	11	100	7.6	3.8	27	0.31	272	23.6	11.5	12.7	8.3	39.4	64	61.8	0.1	0.6	92	88	4	5.3	1	0.25	69	10.3	89	20.8	0.1	1.7	0.1
Burkina Faso	18646	59.6	60.9	60.3	52.9	33	5.4	371	80	84.6	25.6	51	4.29	12492287	21.7	7.7	8.2	30	122	39	206.2	49.6	3	91	50	0	0.6	0	0	45	7.2	9	36.3	0.1	9.8	0.2
Burundi	10524	58.5	61.8	60.1	52.6	24	8.2	712	85	71.7	24.2	118	2.59	5898120	22.9	9.1	7.5	31.3	58	43	179.9	65.4	5.2	94	72	1.5	3	0.3	0	25	11.8	5	35.6	0.2	6.6	1.5
Cabo Verde	540	71.1	75	73.2	64.5	146	4.8	42	91	21.4	10.2	137	0.71	145562	17.2	11.3	5.7	26.1	80	62	99.5	4.1	0.5	96	95	0.8	1.3	0	0	65	10.8	71	31.6	0	8.2	0
Cambodia	15762	67.3	71.2	69.4	60.8	70	6	161	89	30.6	16.2	345	0.56	4771389	21.1	5.3	6.7	17.4	57	55	149.8	6.5	0.6	90	58	0.1	1	0	0	81	6.1	18	24.9	0.3	2.2	0
Cameroon	23439	56.7	59.4	58.1	51.1	64	5.1	596	65	79.7	23.9	203	1.9	19389766	21.6	12.2	8.9	27.6	119	44	208.1	45.2	3.1	85	89	0.1	0.5	0	0	57	3.1	23	65.4	0.1	11.6	3.7
Canada	36290	80.9	84.7	82.8	73.2	4508	10.4	7	98	4.9	3.2	5.2	1.03	0	9.8	12.5	8.9	6	11.1	80	7	0.4	0.3	91	86	2.5	9.8	1.3	1	100	19.1	95	6.7	0.1	1.5	0.1
Central African Republic	4595	51.7	54.4	53	44.9	17	4.8	882	40	123.6	42.3	407	6.62	3756993	23.1	7.7	3.3	32.4	229	33	211.9	82.1	3.2	47	89	0	0.3	0	0	27	4.1	5	51.2	0	13.8	32.4
